code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
2303,聯電,0,2000000,2000000,0.0,0.6,0.6,NEW
8996,高力,1630000,1630000,0,4.09,4.37,0.28000000000000025,WEIGHT_CHANGE
3443,創意,311000,311000,0,2.98,3.2,0.2200000000000002,WEIGHT_CHANGE
2327,國巨*,1566000,1566000,0,2.93,3.14,0.20999999999999996,WEIGHT_CHANGE
3008,大立光,260000,260000,0,2.29,2.45,0.16000000000000014,WEIGHT_CHANGE
3037,欣興,2097000,2097000,0,4.14,4.3,0.16000000000000014,WEIGHT_CHANGE
2454,聯發科,406000,406000,0,3.72,3.87,0.1499999999999999,WEIGHT_CHANGE
6584,南俊國際,2204000,2204000,0,2.82,2.94,0.1200000000000001,WEIGHT_CHANGE
2383,台光電,563000,563000,0,5.96,6.04,0.08000000000000007,WEIGHT_CHANGE
2345,智邦,977000,977000,0,5.0,5.07,0.07000000000000028,WEIGHT_CHANGE
2455,全新,2753000,2753000,0,2.12,2.17,0.04999999999999982,WEIGHT_CHANGE
6187,萬潤,1220000,1220000,0,2.9,2.94,0.040000000000000036,WEIGHT_CHANGE
2337,旺宏,1343000,1343000,0,0.43,0.46,0.030000000000000027,WEIGHT_CHANGE
3189,景碩,440013,440013,0,0.59,0.62,0.030000000000000027,WEIGHT_CHANGE
8046,南電,718000,718000,0,1.29,1.32,0.030000000000000027,WEIGHT_CHANGE
6139,亞翔,250000,250000,0,0.44,0.47,0.02999999999999997,WEIGHT_CHANGE
3653,健策,214000,214000,0,1.73,1.75,0.020000000000000018,WEIGHT_CHANGE
3661,世芯-KY,262000,262000,0,2.36,2.38,0.020000000000000018,WEIGHT_CHANGE
6515,穎崴,145000,145000,0,3.05,3.07,0.020000000000000018,WEIGHT_CHANGE
2330,台積電,1706000,1706000,0,8.63,8.65,0.019999999999999574,WEIGHT_CHANGE
5289,宜鼎,98000,98000,0,0.39,0.4,0.010000000000000009,WEIGHT_CHANGE
3583,辛耘,566000,566000,0,1.0,0.99,-0.010000000000000009,WEIGHT_CHANGE
7751,竑騰,375000,375000,0,1.13,1.11,-0.019999999999999796,WEIGHT_CHANGE
3363,上詮,300000,300000,0,0.48,0.45,-0.02999999999999997,WEIGHT_CHANGE
3105,穩懋,1949000,1949000,0,2.16,2.13,-0.03000000000000025,WEIGHT_CHANGE
6805,富世達,109000,109000,0,0.44,0.4,-0.03999999999999998,WEIGHT_CHANGE
2360,致茂,200000,200000,0,1.01,0.97,-0.040000000000000036,WEIGHT_CHANGE
6669,緯穎,228000,228000,0,2.42,2.38,-0.040000000000000036,WEIGHT_CHANGE
7769,鴻勁,91000,91000,0,1.44,1.4,-0.040000000000000036,WEIGHT_CHANGE
2308,台達電,344000,344000,0,1.67,1.62,-0.04999999999999982,WEIGHT_CHANGE
8299,群聯,445000,445000,0,2.25,2.2,-0.04999999999999982,WEIGHT_CHANGE
3711,日月光投控,1629000,1629000,0,2.11,2.05,-0.06000000000000005,WEIGHT_CHANGE
2368,金像電,945000,945000,0,2.73,2.66,-0.06999999999999984,WEIGHT_CHANGE
2059,川湖,293000,293000,0,4.44,4.35,-0.09000000000000075,WEIGHT_CHANGE
8021,尖點,1501000,1501000,0,1.72,1.62,-0.09999999999999987,WEIGHT_CHANGE
3017,奇鋐,1009000,1009000,0,5.32,5.19,-0.1299999999999999,WEIGHT_CHANGE
6223,旺矽,326000,326000,0,4.63,4.48,-0.14999999999999947,WEIGHT_CHANGE
3665,貿聯-KY,955000,955000,0,4.83,4.62,-0.20999999999999996,WEIGHT_CHANGE
7734,印能科技,56000,56000,0,0.34,0.35,0.009999999999999953,SAME
3260,威剛,358000,358000,0,0.32,0.32,0.0,SAME
3264,欣銓,72000,72000,0,0.04,0.04,0.0,SAME
3491,昇達科,1000,1000,0,0.0,0.0,0.0,SAME
