code,name,prev_shares,curr_shares,shares_delta,prev_weight,curr_weight,weight_delta,status
2308,台達電,224000,0,-224000,1.01,0.0,-1.01,OUT
3653,健策,132000,0,-132000,1.1,0.0,-1.1,OUT
6223,旺矽,326000,326000,0,4.74,5.17,0.4299999999999997,WEIGHT_CHANGE
3017,奇鋐,1009000,1009000,0,5.32,5.65,0.33000000000000007,WEIGHT_CHANGE
2327,國巨*,1566000,1566000,0,3.48,3.64,0.16000000000000014,WEIGHT_CHANGE
3443,創意,311000,311000,0,3.2,3.36,0.1599999999999997,WEIGHT_CHANGE
6584,南俊國際,2204000,2204000,0,3.11,3.23,0.1200000000000001,WEIGHT_CHANGE
8299,群聯,445000,445000,0,2.35,2.46,0.10999999999999988,WEIGHT_CHANGE
2059,川湖,293000,293000,0,4.77,4.86,0.09000000000000075,WEIGHT_CHANGE
8996,高力,1630000,1630000,0,5.14,5.23,0.09000000000000075,WEIGHT_CHANGE
3665,貿聯-KY,955000,955000,0,4.16,4.24,0.08000000000000007,WEIGHT_CHANGE
6515,穎崴,145000,145000,0,2.98,3.05,0.06999999999999984,WEIGHT_CHANGE
2303,聯電,2000000,2000000,0,0.74,0.79,0.050000000000000044,WEIGHT_CHANGE
2455,全新,2753000,2753000,0,2.38,2.42,0.040000000000000036,WEIGHT_CHANGE
8021,尖點,1501000,1501000,0,1.85,1.89,0.039999999999999813,WEIGHT_CHANGE
7751,竑騰,375000,375000,0,1.2,1.23,0.030000000000000027,WEIGHT_CHANGE
2368,金像電,945000,945000,0,2.6,2.62,0.020000000000000018,WEIGHT_CHANGE
3189,景碩,440013,440013,0,0.7,0.72,0.020000000000000018,WEIGHT_CHANGE
6139,亞翔,250000,250000,0,0.43,0.45,0.020000000000000018,WEIGHT_CHANGE
6805,富世達,109000,109000,0,0.42,0.44,0.020000000000000018,WEIGHT_CHANGE
3661,世芯-KY,215000,215000,0,2.05,2.06,0.010000000000000231,WEIGHT_CHANGE
2337,旺宏,1343000,1343000,0,0.5,0.51,0.010000000000000009,WEIGHT_CHANGE
2360,致茂,50000,50000,0,0.25,0.24,-0.010000000000000009,WEIGHT_CHANGE
3363,上詮,300000,300000,0,0.45,0.44,-0.010000000000000009,WEIGHT_CHANGE
5289,宜鼎,98000,98000,0,0.4,0.39,-0.010000000000000009,WEIGHT_CHANGE
3583,辛耘,566000,566000,0,1.09,1.07,-0.020000000000000018,WEIGHT_CHANGE
2345,智邦,977000,977000,0,5.18,5.13,-0.04999999999999982,WEIGHT_CHANGE
2383,台光電,563000,563000,0,6.98,6.92,-0.0600000000000005,WEIGHT_CHANGE
3037,欣興,2097000,2097000,0,4.44,4.32,-0.1200000000000001,WEIGHT_CHANGE
3105,穩懋,1949000,1949000,0,2.21,2.06,-0.1499999999999999,WEIGHT_CHANGE
2454,聯發科,406000,406000,0,4.01,3.85,-0.1599999999999997,WEIGHT_CHANGE
2330,台積電,1406000,1406000,0,7.62,7.43,-0.1900000000000004,WEIGHT_CHANGE
6187,萬潤,1220000,1220000,0,3.11,2.86,-0.25,WEIGHT_CHANGE
3260,威剛,358000,358000,0,0.32,0.32,0.0,SAME
3264,欣銓,72000,72000,0,0.04,0.04,0.0,SAME
3491,昇達科,1000,1000,0,0.0,0.0,0.0,SAME
3711,日月光投控,1629000,1629000,0,2.35,2.35,0.0,SAME
3008,大立光,380000,380000,0,4.13,4.12,-0.009999999999999787,SAME
7734,印能科技,56000,56000,0,0.41,0.4,-0.009999999999999953,SAME
