code,name,shares,weight
2330,台積電,1406000,8.69
2383,台光電,563000,7.03
2059,川湖,293000,6.35
2345,智邦,977000,5.67
3017,奇鋐,1002000,5.58
6223,旺矽,326000,5.08
3665,貿聯-KY,955000,4.67
3037,欣興,2097000,4.63
8996,高力,1630000,4.59
3008,大立光,420000,4.48
2327,國巨*,2066000,4.01
2454,聯發科,406000,3.76
6584,南俊國際,2231000,3.59
6187,萬潤,1220000,3.28
2303,聯電,7000000,2.8
3711,日月光投控,1629000,2.78
8299,群聯,445000,2.21
3443,創意,211000,2.21
2455,全新,2753000,2.16
3661,世芯-KY,215000,2.03
8021,尖點,1501000,1.9
6182,合晶,4500000,1.87
3026,禾伸堂,909000,1.74
6515,穎崴,99000,1.67
6488,環球晶,394000,1.35
7751,竑騰,318000,0.99
3189,景碩,440013,0.85
6139,亞翔,250000,0.54
2337,旺宏,1343000,0.46
7734,印能科技,56000,0.44
3363,上詮,300000,0.42
6805,富世達,109000,0.39
3260,威剛,358000,0.36
5289,宜鼎,98000,0.34
3583,辛耘,147000,0.31
3264,欣銓,72000,0.04
3491,昇達科,1000,0.0
