code,name,shares,weight
2330,台積電,1706000,8.57
2383,台光電,563000,5.88
2345,智邦,977000,5.18
8996,高力,1630000,4.32
3037,欣興,2097000,4.18
2059,川湖,293000,3.96
6223,旺矽,326000,3.94
3665,貿聯-KY,855000,3.92
6669,緯穎,319000,3.68
2454,聯發科,406000,3.62
3017,奇鋐,634000,3.57
6584,南俊國際,2204000,3.01
3443,創意,311000,2.9
2368,金像電,945000,2.81
6515,穎崴,145000,2.66
2327,國巨*,1566000,2.57
3661,世芯-KY,262000,2.39
8299,群聯,445000,2.19
2455,全新,2753000,2.17
6187,萬潤,870000,2.06
3105,穩懋,1949000,1.93
3711,日月光投控,1629000,1.93
2308,台達電,344000,1.7
6274,台燿,441000,1.48
7769,鴻勁,91000,1.4
8046,南電,718000,1.31
7751,竑騰,375000,1.17
5274,信驊,29000,1.11
2360,致茂,200000,1.07
6510,精測,129000,1.01
3583,辛耘,566000,1.0
3008,大立光,125000,0.97
3653,健策,102000,0.85
3189,景碩,440013,0.67
3363,上詮,300000,0.54
4991,環宇-KY,394000,0.53
8021,尖點,501000,0.5
6805,富世達,109000,0.45
2337,旺宏,1343000,0.42
6139,亞翔,250000,0.4
5289,宜鼎,98000,0.39
7734,印能科技,56000,0.37
3260,威剛,358000,0.32
3491,昇達科,1000,0.0
