code,name,shares,weight
2059,川湖,293000,8.34
2330,台積電,1406000,7.67
3017,奇鋐,1002000,7.38
2383,台光電,466000,6.54
3665,貿聯-KY,1161000,5.82
3037,欣興,2497000,5.8
2345,智邦,1080000,5.66
8996,高力,1630000,4.75
3008,大立光,420000,4.41
2454,聯發科,406000,3.89
6223,旺矽,263000,3.86
3231,緯創,7662000,3.38
6584,南俊國際,2231000,3.07
2308,台達電,632000,2.71
8021,尖點,2682000,2.65
1303,南亞,5445000,2.57
2455,全新,2753000,2.38
3711,日月光投控,1629000,2.29
1815,富喬,10877000,2.27
3661,世芯-KY,215000,2.06
3443,創意,160000,1.99
3189,景碩,840013,1.65
6669,緯穎,77000,1.13
4958,臻鼎-KY,1000000,1.11
8046,南電,300000,0.89
6515,穎崴,42000,0.65
7751,竑騰,149000,0.49
6139,亞翔,250000,0.45
6805,富世達,109000,0.45
2337,旺宏,1343000,0.42
7734,印能科技,56000,0.39
3260,威剛,358000,0.33
5289,宜鼎,98000,0.33
3583,辛耘,147000,0.24
5347,世界,629000,0.23
3264,欣銓,72000,0.04
