code,name,shares,weight
2330,台積電,1406000,8.58
2383,台光電,563000,7.34
2345,智邦,1080000,6.28
2059,川湖,293000,6.06
3017,奇鋐,1002000,5.77
3665,貿聯-KY,955000,5.14
6223,旺矽,326000,4.98
3037,欣興,2097000,4.84
8996,高力,1630000,4.48
3008,大立光,420000,4.27
2454,聯發科,406000,3.98
2327,國巨*,2066000,3.69
6187,萬潤,1220000,3.27
6584,南俊國際,2231000,3.13
3711,日月光投控,1629000,2.72
2303,聯電,7000000,2.47
3443,創意,211000,2.35
2455,全新,2753000,2.27
8299,群聯,445000,2.17
3661,世芯-KY,215000,1.96
8021,尖點,1501000,1.6
3026,禾伸堂,909000,1.53
6488,環球晶,394000,1.24
7751,竑騰,318000,1.02
3189,景碩,440013,0.89
6515,穎崴,42000,0.69
6139,亞翔,250000,0.54
2337,旺宏,1343000,0.46
7734,印能科技,56000,0.45
3363,上詮,300000,0.43
6805,富世達,109000,0.39
3260,威剛,358000,0.35
5289,宜鼎,98000,0.34
3583,辛耘,147000,0.29
3264,欣銓,72000,0.04
3491,昇達科,1000,0.0
