code,name,shares,weight
3017,奇鋐,1001000,8.45
3037,欣興,2482000,6.98
2330,台積電,1116000,6.56
3665,貿聯-KY,1161000,6.45
2059,川湖,205000,6.01
8996,高力,1630000,5.92
2383,台光電,465000,5.58
2345,智邦,1104000,4.97
6223,旺矽,344000,4.42
3008,大立光,293000,4.35
3443,創意,164000,3.32
3231,緯創,7245000,3.17
1815,富喬,11420868,3.15
8021,尖點,2682000,3.06
6584,南俊國際,2213000,2.86
8046,南電,968000,2.85
2454,聯發科,179000,2.25
2455,全新,1700000,2.24
6669,緯穎,429675,2.16
1303,南亞,3645000,2.06
3189,景碩,844013,1.93
4958,臻鼎-KY,1000000,1.13
2308,台達電,200000,0.91
6515,穎崴,51000,0.71
3653,健策,33000,0.54
6213,聯茂,373000,0.53
8150,南茂,1957000,0.52
5274,信驊,11000,0.52
3026,禾伸堂,261000,0.5
2404,漢唐,155000,0.47
2301,光寶科,659000,0.45
6139,亞翔,250000,0.45
2376,技嘉,508000,0.44
2357,華碩,196000,0.44
3711,日月光投控,250000,0.41
2360,致茂,76000,0.41
6274,台燿,113000,0.4
3081,聯亞,63000,0.4
6187,萬潤,134000,0.38
5289,宜鼎,99952,0.31
5347,世界,629000,0.25
3131,弘塑,1000,0.01
