code,name,shares,weight
2330,台積電,1706000,8.63
2383,台光電,563000,5.96
3017,奇鋐,1009000,5.32
2345,智邦,977000,5.0
3665,貿聯-KY,955000,4.83
6223,旺矽,326000,4.63
2059,川湖,293000,4.44
3037,欣興,2097000,4.14
8996,高力,1630000,4.09
2454,聯發科,406000,3.72
6515,穎崴,145000,3.05
3443,創意,311000,2.98
2327,國巨*,1566000,2.93
6187,萬潤,1220000,2.9
6584,南俊國際,2204000,2.82
2368,金像電,945000,2.73
6669,緯穎,228000,2.42
3661,世芯-KY,262000,2.36
3008,大立光,260000,2.29
8299,群聯,445000,2.25
3105,穩懋,1949000,2.16
2455,全新,2753000,2.12
3711,日月光投控,1629000,2.11
3653,健策,214000,1.73
8021,尖點,1501000,1.72
2308,台達電,344000,1.67
7769,鴻勁,91000,1.44
8046,南電,718000,1.29
7751,竑騰,375000,1.13
2360,致茂,200000,1.01
3583,辛耘,566000,1.0
3189,景碩,440013,0.59
3363,上詮,300000,0.48
6139,亞翔,250000,0.44
6805,富世達,109000,0.44
2337,旺宏,1343000,0.43
5289,宜鼎,98000,0.39
7734,印能科技,56000,0.34
3260,威剛,358000,0.32
3264,欣銓,72000,0.04
3491,昇達科,1000,0.0
