code,name,shares,weight
2330,台積電,1406000,8.27
2383,台光電,563000,6.89
2059,川湖,293000,6.0
2345,智邦,977000,5.51
3017,奇鋐,1002000,5.23
6223,旺矽,326000,4.97
3037,欣興,2097000,4.73
8996,高力,1630000,4.65
3665,貿聯-KY,955000,4.4
3008,大立光,420000,4.09
2327,國巨*,2066000,3.97
2454,聯發科,406000,3.66
6584,南俊國際,2231000,3.58
6187,萬潤,1220000,3.18
2303,聯電,7000000,2.8
3711,日月光投控,1629000,2.68
8299,群聯,445000,2.26
2455,全新,2753000,2.09
3443,創意,211000,2.09
6182,合晶,4500000,1.95
3661,世芯-KY,215000,1.94
8021,尖點,1501000,1.92
3026,禾伸堂,909000,1.84
6515,穎崴,99000,1.73
6488,環球晶,394000,1.41
3583,辛耘,566000,1.15
7751,竑騰,318000,0.93
3189,景碩,440013,0.9
6139,亞翔,250000,0.54
2337,旺宏,1343000,0.48
3363,上詮,300000,0.43
7734,印能科技,56000,0.41
6805,富世達,109000,0.37
3260,威剛,358000,0.35
5289,宜鼎,98000,0.35
3264,欣銓,72000,0.04
3491,昇達科,1000,0.0
