code,name,weight,shares
2330,台積電,7.02,806000
2383,台光電,4.33,323000
2345,智邦,4.06,531000
3017,奇鋐,3.69,370000
6223,旺矽,3.55,196000
6515,穎崴,3.53,111000
3533,嘉澤,3.38,343000
8299,群聯,3.25,434000
3037,欣興,3.19,1277000
3105,穩懋,3.11,1716000
3163,波若威,3.1,676000
2059,川湖,3.07,191000
8996,高力,2.98,715000
6442,光聖,2.98,310000
2360,致茂,2.73,370000
7769,鴻勁,2.62,142000
6669,緯穎,2.4,146000
2408,南亞科,2.35,2432000
8046,南電,2.35,858000
7751,竑騰,2.28,285000
6510,精測,2.16,142000
4749,新應材,2.03,526000
6805,富世達,1.99,219000
2308,台達電,1.93,280000
8358,金居,1.91,1728000
3653,健策,1.79,100000
5274,信驊,1.63,29000
3081,聯亞,1.62,185000
6584,南俊國際,1.55,566000
3131,弘塑,1.29,87000
5347,世界,1.21,2277000
4991,環宇-KY,1.07,511000
3036,文曄,1.02,947000
2368,金像電,0.99,227000
3665,貿聯-KY,0.92,100000
6781,AES-KY,0.91,198000
2486,一詮,0.88,1230000
3529,力旺,0.85,67000
6531,愛普*,0.78,367000
3661,世芯-KY,0.77,59000
3189,景碩,0.74,457013
3443,創意,0.74,66000
6274,台燿,0.69,230000
8021,尖點,0.67,569920
3491,昇達科,0.51,71000
2337,旺宏,0.42,671000
3711,日月光投控,0.41,236000
3324,雙鴻,0.41,93000
5289,宜鼎,0.41,90000
3260,威剛,0.4,231000
2344,華邦電,0.29,663000
2449,京元電子,0.21,166000
