code,name,weight,shares
2330,台積電,7.55,1761000
3037,欣興,5.85,2902000
2383,台光電,5.3,536000
2345,智邦,4.94,1012000
6223,旺矽,4.04,339000
8996,高力,3.79,1674000
6669,緯穎,3.79,400000
3105,穩懋,3.59,3433000
3443,創意,3.42,360000
2059,川湖,3.28,358000
8046,南電,2.8,1658000
6515,穎崴,2.76,151000
3665,貿聯-KY,2.63,667000
3017,奇鋐,2.52,501000
3661,世芯-KY,2.46,293000
2454,聯發科,2.35,272000
2455,全新,2.28,2927000
8299,群聯,2.26,489000
2327,國巨*,2.09,1600000
3081,聯亞,2.04,380000
6274,台燿,1.93,636000
6510,精測,1.92,322000
6584,南俊國際,1.84,1437000
2368,金像電,1.72,669000
2308,台達電,1.68,357000
3533,嘉澤,1.57,320000
7769,鴻勁,1.45,100000
3653,健策,1.35,197000
7751,竑騰,1.22,384000
5274,信驊,1.02,30000
2360,致茂,1.01,207000
6442,光聖,0.88,230000
4991,環宇-KY,0.84,574000
3163,波若威,0.65,319000
3189,景碩,0.64,486013
6531,愛普*,0.55,271000
5289,宜鼎,0.5,157000
2467,志聖,0.43,347000
2337,旺宏,0.42,1465000
8021,尖點,0.42,518000
7734,印能科技,0.42,59000
6139,亞翔,0.39,259000
3711,日月光投控,0.38,320000
3491,昇達科,0.38,97000
6805,富世達,0.36,112000
3260,威剛,0.3,393000
3583,辛耘,0.05,33000
