code,name,weight,shares
2330,台積電,7.59,556000
8299,群聯,5.14,327000
2308,台達電,4.67,504000
2345,智邦,4.42,488000
3017,奇鋐,4.24,331000
3665,貿聯-KY,3.97,387000
6223,旺矽,3.68,175000
6515,穎崴,3.52,101000
2383,台光電,3.5,224000
2059,川湖,3.15,134000
7769,鴻勁,2.68,92000
8996,高力,2.67,412000
3037,欣興,2.55,858000
2360,致茂,2.47,313000
3163,波若威,2.29,612000
2449,京元電子,2.12,932000
3260,威剛,2.09,819000
5347,世界,1.96,2101000
5274,信驊,1.92,26000
6415,矽力*-KY,1.85,840000
6442,光聖,1.76,124000
3324,雙鴻,1.75,226000
3661,世芯-KY,1.66,64000
6781,AES-KY,1.64,191000
2408,南亞科,1.62,718000
4749,新應材,1.57,240000
1519,華城,1.55,204000
8358,金居,1.42,713000
6669,緯穎,1.41,50000
8210,勤誠,1.25,165000
2327,國巨*,1.22,595000
2454,聯發科,1.17,85000
2486,一詮,1.14,1150000
6274,台燿,0.98,238000
5289,宜鼎,0.93,157000
3529,力旺,0.93,71000
8021,尖點,0.83,509920
3231,緯創,0.82,827000
6531,愛普*,0.8,245000
6805,富世達,0.64,55000
2317,鴻海,0.54,325000
8046,南電,0.5,160000
3443,創意,0.45,23000
3189,景碩,0.44,213000
2368,金像電,0.37,60000
6584,南俊國際,0.35,136000
3653,健策,0.33,14000
2344,華邦電,0.31,379000
5439,高技,0.3,126000
