code,name,prev_shares,curr_shares,delta,status
6274,台燿,0,110000,110000,NEW
3324,雙鴻,0,50000,50000,NEW
8046,南電,560000,810000,250000,UP
6584,南俊國際,136000,236000,100000,UP
7751,竑騰,166000,256000,90000,UP
5439,高技,126000,186000,60000,UP
5347,世界,2501000,2529000,28000,UP
3189,景碩,237013,252013,15000,UP
3037,欣興,1193000,1206000,13000,UP
8358,金居,713000,721000,8000,UP
8996,高力,599000,606000,7000,UP
8021,尖點,509920,515920,6000,UP
2345,智邦,488000,493000,5000,UP
2317,鴻海,325000,329000,4000,UP
2344,華邦電,379000,383000,4000,UP
3017,奇鋐,331000,335000,4000,UP
2308,台達電,270000,273000,3000,UP
2360,致茂,313000,316000,3000,UP
2383,台光電,299000,302000,3000,UP
2486,一詮,1150000,1153000,3000,UP
3533,嘉澤,228000,231000,3000,UP
4749,新應材,240000,243000,3000,UP
1519,華城,204000,206000,2000,UP
6223,旺矽,175000,177000,2000,UP
6781,AES-KY,191000,193000,2000,UP
8210,勤誠,165000,167000,2000,UP
2059,川湖,134000,135000,1000,UP
2368,金像電,60000,61000,1000,UP
2408,南亞科,2379000,2380000,1000,UP
3665,貿聯-KY,217000,218000,1000,UP
6515,穎崴,100000,101000,1000,UP
6669,緯穎,50000,51000,1000,UP
6805,富世達,55000,56000,1000,UP
7769,鴻勁,127000,128000,1000,UP
8299,群聯,394000,395000,1000,UP
2449,京元電子,932000,532000,-400000,DOWN
2330,台積電,556000,556000,0,SAME
3163,波若威,612000,612000,0,SAME
3529,力旺,21000,21000,0,SAME
3653,健策,14000,14000,0,SAME
3661,世芯-KY,37000,37000,0,SAME
5274,信驊,26000,26000,0,SAME
5289,宜鼎,157000,157000,0,SAME
6442,光聖,124000,124000,0,SAME
6531,愛普*,245000,245000,0,SAME
