code,name,prev_shares,curr_shares,delta,status
6415,矽力*-KY,300000,800000,500000,UP
6274,台燿,150000,223000,73000,UP
2345,智邦,433000,478000,45000,UP
8358,金居,696000,699000,3000,UP
1519,華城,289000,200000,-89000,DOWN
2059,川湖,127000,127000,0,SAME
2308,台達電,494000,494000,0,SAME
2317,鴻海,314000,314000,0,SAME
2327,國巨*,583000,583000,0,SAME
2330,台積電,556000,556000,0,SAME
2344,華邦電,1079000,1079000,0,SAME
2360,致茂,307000,307000,0,SAME
2383,台光電,200000,200000,0,SAME
2408,南亞科,950000,950000,0,SAME
2449,京元電子,432000,432000,0,SAME
2451,創見,455000,455000,0,SAME
3017,奇鋐,315000,315000,0,SAME
3037,欣興,302000,302000,0,SAME
3131,弘塑,135000,135000,0,SAME
3163,波若威,612000,612000,0,SAME
3189,景碩,209000,209000,0,SAME
3260,威剛,804000,804000,0,SAME
3324,雙鴻,40000,40000,0,SAME
3443,創意,23000,23000,0,SAME
3529,力旺,71000,71000,0,SAME
3653,健策,14000,14000,0,SAME
3661,世芯-KY,62000,62000,0,SAME
3665,貿聯-KY,379000,379000,0,SAME
4749,新應材,228000,228000,0,SAME
5274,信驊,23000,23000,0,SAME
5289,宜鼎,154000,154000,0,SAME
5347,世界,2060000,2060000,0,SAME
5439,高技,120000,120000,0,SAME
5536,聖暉*,220000,220000,0,SAME
6223,旺矽,167000,167000,0,SAME
6442,光聖,124000,124000,0,SAME
6515,穎崴,96000,96000,0,SAME
6531,愛普*,233000,233000,0,SAME
6584,南俊國際,104000,104000,0,SAME
6781,AES-KY,179000,179000,0,SAME
6805,富世達,52000,52000,0,SAME
7769,鴻勁,87000,87000,0,SAME
8021,尖點,492000,492000,0,SAME
8046,南電,147000,147000,0,SAME
8210,勤誠,162000,162000,0,SAME
8299,群聯,272000,272000,0,SAME
8996,高力,362000,362000,0,SAME
