code,name,weight,shares
2330,台積電,6.11,1134000
3105,穩懋,4.77,3027000
8996,高力,4.18,1310000
2383,台光電,3.85,376000
6515,穎崴,3.7,129000
3037,欣興,3.42,1899000
6442,光聖,3.42,542000
6223,旺矽,3.39,248000
2345,智邦,3.3,618000
6510,精測,2.95,291000
3665,貿聯-KY,2.92,447000
3017,奇鋐,2.85,431000
3533,嘉澤,2.79,399000
6669,緯穎,2.79,264000
3163,波若威,2.71,786000
8299,群聯,2.67,615000
2360,致茂,2.26,414000
2059,川湖,2.2,221000
3443,創意,2.05,215000
8046,南電,1.99,938000
7769,鴻勁,1.95,165000
7751,竑騰,1.71,331000
3529,力旺,1.62,139000
4749,新應材,1.57,599000
2408,南亞科,1.56,2829000
5274,信驊,1.5,39000
3081,聯亞,1.48,195000
3653,健策,1.47,110000
6584,南俊國際,1.45,743000
8358,金居,1.42,1326000
6274,台燿,1.37,543000
6805,富世達,1.29,255000
4991,環宇-KY,1.13,587000
3131,弘塑,1.13,132000
6531,愛普*,1.1,604000
5347,世界,0.89,2402000
6271,同欣電,0.89,1800000
2368,金像電,0.85,264000
2308,台達電,0.79,156000
2486,一詮,0.68,1298000
3661,世芯-KY,0.67,69000
8021,尖點,0.65,584920
3036,文曄,0.58,1000000
3189,景碩,0.55,484013
3491,昇達科,0.37,83000
3711,日月光投控,0.34,275000
3260,威剛,0.28,293000
5289,宜鼎,0.28,102000
3324,雙鴻,0.28,100000
2337,旺宏,0.25,771000
2344,華邦電,0.18,771000
