code,name,weight,shares
2330,台積電,5.79,1305000
3105,穩懋,4.59,3433000
6669,緯穎,4.24,464000
6442,光聖,3.96,781000
8996,高力,3.92,1489000
2383,台光電,3.75,438000
6515,穎崴,3.48,150000
3037,欣興,3.4,2210000
2345,智邦,3.38,713000
6223,旺矽,3.08,288000
3665,貿聯-KY,2.98,567000
6510,精測,2.85,321000
3017,奇鋐,2.78,501000
8299,群聯,2.71,708000
3533,嘉澤,2.66,466000
3163,波若威,2.51,919000
6584,南俊國際,2.27,1333000
3653,健策,2.23,192000
2059,川湖,2.14,257000
2360,致茂,2.13,485000
3443,創意,2.09,259000
8046,南電,1.88,1103000
7769,鴻勁,1.87,193000
7751,竑騰,1.61,386000
2408,南亞科,1.56,3265000
2308,台達電,1.55,356000
4749,新應材,1.5,698000
3661,世芯-KY,1.49,173000
5274,信驊,1.49,45000
3529,力旺,1.47,154000
3081,聯亞,1.46,229000
8358,金居,1.33,1558000
6274,台燿,1.32,633000
6805,富世達,1.23,297000
6531,愛普*,1.09,700000
3131,弘塑,1.09,153000
4991,環宇-KY,1.07,688000
6271,同欣電,0.85,2089000
5347,世界,0.84,2818000
2368,金像電,0.82,308000
2486,一詮,0.67,1517000
8021,尖點,0.6,688920
3036,文曄,0.55,1171000
3189,景碩,0.5,484013
3491,昇達科,0.37,97000
3324,雙鴻,0.34,150000
3711,日月光投控,0.33,319000
3260,威剛,0.25,293000
5289,宜鼎,0.25,102000
2337,旺宏,0.22,771000
2344,華邦電,0.18,889000
