code,name,weight,shares
2330,台積電,8.62,565000
8299,群聯,5.46,341000
2308,台達電,4.78,502000
3017,奇鋐,4.43,362000
2059,川湖,3.92,129000
3665,貿聯-KY,3.84,305000
2345,智邦,3.81,350000
6223,旺矽,3.37,170000
2383,台光電,3.33,229000
6669,緯穎,3.07,83000
6515,穎崴,3.04,97000
7769,鴻勁,2.74,88000
2360,致茂,2.64,307000
6274,台燿,2.54,592000
8996,高力,2.3,366000
3131,弘塑,2.29,139000
5347,世界,2.23,2073000
1519,華城,2.15,292000
6781,AES-KY,2.13,182000
3661,世芯-KY,2.06,63000
2408,南亞科,2.05,950000
2451,創見,2.02,945000
3260,威剛,2.02,819000
3163,波若威,2.02,625000
5536,聖暉*,1.7,238000
2368,金像電,1.62,269000
8358,金居,1.61,696000
6442,光聖,1.58,124000
8210,勤誠,1.33,162000
2327,國巨*,1.31,585000
3324,雙鴻,1.13,130000
3529,力旺,1.12,73000
4749,新應材,1.11,132000
2449,京元電子,1.07,438000
2344,華邦電,0.99,1079000
6531,愛普*,0.99,233000
8021,尖點,0.98,500000
5289,宜鼎,0.89,157000
3037,欣興,0.8,365000
2317,鴻海,0.66,320000
6805,富世達,0.66,55000
5274,信驊,0.65,9000
3443,創意,0.55,25000
2382,廣達,0.54,213000
3189,景碩,0.35,213000
5439,高技,0.35,122000
8046,南電,0.34,147000
3653,健策,0.32,14000
6584,南俊國際,0.3,104000
