code,name,weight,shares
2330,台積電,7.6,556000
8299,群聯,5.1,394000
2345,智邦,4.98,488000
2308,台達電,4.84,504000
3017,奇鋐,4.33,331000
7769,鴻勁,3.88,127000
3037,欣興,3.86,1193000
2383,台光電,3.73,219000
6223,旺矽,3.58,175000
6515,穎崴,3.43,100000
8996,高力,3.35,599000
2059,川湖,3.2,134000
3163,波若威,3.16,612000
2360,致茂,3.16,313000
2408,南亞科,3.11,1679000
3665,貿聯-KY,2.69,217000
5347,世界,2.15,2501000
2449,京元電子,1.98,932000
2454,聯發科,1.93,151000
3533,嘉澤,1.87,164000
5274,信驊,1.78,26000
6442,光聖,1.77,124000
4749,新應材,1.67,240000
3324,雙鴻,1.59,226000
6669,緯穎,1.52,50000
7751,竑騰,1.45,166000
6781,AES-KY,1.42,191000
1519,華城,1.4,204000
8358,金居,1.3,713000
3529,力旺,1.24,71000
2486,一詮,1.12,1150000
8210,勤誠,1.1,165000
5289,宜鼎,0.88,157000
6274,台燿,0.87,238000
3661,世芯-KY,0.87,37000
8021,尖點,0.85,509920
6531,愛普*,0.78,245000
6805,富世達,0.68,55000
8046,南電,0.53,160000
2317,鴻海,0.52,325000
3189,景碩,0.46,213000
6584,南俊國際,0.39,136000
3443,創意,0.39,23000
2368,金像電,0.32,60000
3653,健策,0.32,14000
2344,華邦電,0.31,379000
5439,高技,0.25,126000
