code,name,prev_shares,curr_shares,delta,status
3443,創意,0,65000,65000,NEW
3105,穩懋,504000,904000,400000,UP
6274,台燿,110000,225000,115000,UP
2344,華邦電,413000,513000,100000,UP
2368,金像電,122000,222000,100000,UP
6442,光聖,164000,244000,80000,UP
6805,富世達,58000,119000,61000,UP
2330,台積電,557000,607000,50000,UP
2486,一詮,1154000,1204000,50000,UP
3653,健策,44000,88000,44000,UP
2360,致茂,328000,362000,34000,UP
3163,波若威,635000,662000,27000,UP
8996,高力,628000,655000,27000,UP
3189,景碩,452013,476013,24000,UP
8021,尖點,534920,557920,23000,UP
3661,世芯-KY,38000,58000,20000,UP
3017,奇鋐,347000,362000,15000,UP
6531,愛普*,345000,359000,14000,UP
2383,台光電,303000,316000,13000,UP
6669,緯穎,53000,65000,12000,UP
7751,竑騰,267000,279000,12000,UP
5439,高技,193000,201000,8000,UP
6223,旺矽,184000,192000,8000,UP
5289,宜鼎,163000,170000,7000,UP
2059,川湖,136000,142000,6000,UP
7769,鴻勁,133000,139000,6000,UP
3529,力旺,61000,66000,5000,UP
3533,嘉澤,331000,336000,5000,UP
6515,穎崴,105000,109000,4000,UP
3324,雙鴻,52000,54000,2000,UP
2308,台達電,274000,275000,1000,UP
2317,鴻海,341000,342000,1000,UP
2345,智邦,538000,539000,1000,UP
2408,南亞科,2381000,2382000,1000,UP
5274,信驊,27000,28000,1000,UP
8210,勤誠,168000,169000,1000,UP
5347,世界,2530000,2230000,-300000,DOWN
3665,貿聯-KY,129000,0,-129000,OUT
1519,華城,207000,207000,0,SAME
2449,京元電子,552000,552000,0,SAME
3037,欣興,1250000,1250000,0,SAME
4749,新應材,252000,252000,0,SAME
6584,南俊國際,279000,279000,0,SAME
6781,AES-KY,194000,194000,0,SAME
8046,南電,840000,840000,0,SAME
8299,群聯,396000,396000,0,SAME
8358,金居,748000,748000,0,SAME
