code,name,prev_shares,curr_shares,delta,status
3583,辛耘,567000,566000,-1000,DOWN
5274,信驊,30000,29000,-1000,DOWN
3491,昇達科,47000,45000,-2000,DOWN
6805,富世達,112000,110000,-2000,DOWN
7734,印能科技,59000,57000,-2000,DOWN
5289,宜鼎,157000,154000,-3000,DOWN
7769,鴻勁,100000,97000,-3000,DOWN
3653,健策,197000,193000,-4000,DOWN
6515,穎崴,151000,147000,-4000,DOWN
2360,致茂,207000,202000,-5000,DOWN
2454,聯發科,412000,406000,-6000,DOWN
6139,亞翔,259000,253000,-6000,DOWN
6442,光聖,80000,74000,-6000,DOWN
6531,愛普*,271000,265000,-6000,DOWN
2059,川湖,323000,315000,-8000,DOWN
3260,威剛,393000,385000,-8000,DOWN
3711,日月光投控,1640000,1632000,-8000,DOWN
2308,台達電,357000,348000,-9000,DOWN
3443,創意,360000,351000,-9000,DOWN
3661,世芯-KY,293000,284000,-9000,DOWN
6223,旺矽,339000,330000,-9000,DOWN
7751,竑騰,384000,375000,-9000,DOWN
3081,聯亞,380000,370000,-10000,DOWN
3533,嘉澤,48000,38000,-10000,DOWN
6510,精測,272000,262000,-10000,DOWN
6669,緯穎,400000,390000,-10000,DOWN
8299,群聯,489000,479000,-10000,DOWN
3189,景碩,486013,475013,-11000,DOWN
3017,奇鋐,651000,639000,-12000,DOWN
8021,尖點,518000,506000,-12000,DOWN
2383,台光電,636000,623000,-13000,DOWN
3665,貿聯-KY,667000,652000,-15000,DOWN
4991,環宇-KY,574000,559000,-15000,DOWN
6274,台燿,636000,621000,-15000,DOWN
2368,金像電,669000,652000,-17000,DOWN
2345,智邦,1012000,987000,-25000,DOWN
2337,旺宏,1465000,1434000,-31000,DOWN
6584,南俊國際,1485000,1454000,-31000,DOWN
2327,國巨*,1600000,1566000,-34000,DOWN
2330,台積電,1761000,1722000,-39000,DOWN
8046,南電,1058000,1018000,-40000,DOWN
8996,高力,1674000,1630000,-44000,DOWN
2455,全新,2827000,2753000,-74000,DOWN
3037,欣興,2902000,2828000,-74000,DOWN
3105,穩懋,2033000,1949000,-84000,DOWN
