code,name,weight,shares
2330,台積電,7.88,1761000
2383,台光電,4.87,536000
3037,欣興,4.73,2902000
6669,緯穎,4.73,465000
2345,智邦,4.57,916000
6223,旺矽,4.16,339000
8299,群聯,3.89,711000
3661,世芯-KY,3.61,393000
8996,高力,3.53,1689000
3443,創意,3.41,360000
2059,川湖,3.41,358000
6510,精測,3.14,422000
3105,穩懋,3.09,3433000
6515,穎崴,3.09,151000
3665,貿聯-KY,2.7,667000
8046,南電,2.62,1658000
7769,鴻勁,2.58,194000
3017,奇鋐,2.41,501000
3081,聯亞,2.06,380000
2408,南亞科,2.0,3280000
3533,嘉澤,1.95,420000
6584,南俊國際,1.7,1337000
2368,金像電,1.67,669000
3163,波若威,1.66,923000
6274,台燿,1.6,636000
6531,愛普*,1.59,703000
2455,全新,1.49,1927000
5274,信驊,1.45,45000
2308,台達電,1.44,357000
7751,竑騰,1.38,387000
3653,健策,1.29,197000
2454,聯發科,1.22,180000
4991,環宇-KY,0.97,692000
2360,致茂,0.9,207000
6442,光聖,0.86,238000
3036,文曄,0.62,1177000
5289,宜鼎,0.53,142000
3189,景碩,0.49,486013
2337,旺宏,0.41,1271000
3491,昇達科,0.36,97000
3260,威剛,0.33,393000
3711,日月光投控,0.33,320000
3324,雙鴻,0.3,151000
2344,華邦電,0.23,893000
2327,國巨*,0.2,200000
3583,辛耘,0.06,33000
