code,name,weight,shares
2330,台積電,6.1,984000
2383,台光電,4.1,353000
3105,穩懋,3.96,2408000
8996,高力,3.84,1030000
6515,穎崴,3.81,121000
2345,智邦,3.67,581000
6442,光聖,3.57,542000
3037,欣興,3.5,1784000
6223,旺矽,3.39,214000
3665,貿聯-KY,3.03,420000
3017,奇鋐,2.97,405000
3533,嘉澤,2.85,375000
8299,群聯,2.77,578000
3163,波若威,2.76,738000
2360,致茂,2.68,389000
6669,緯穎,2.43,209000
2059,川湖,2.31,208000
7769,鴻勁,2.13,155000
8046,南電,2.07,938000
6510,精測,2.01,176000
7751,竑騰,1.8,311000
2408,南亞科,1.7,2657000
3443,創意,1.67,168000
4749,新應材,1.57,575000
3081,聯亞,1.55,195000
3653,健策,1.53,110000
8358,金居,1.49,1326000
5274,信驊,1.48,35000
6274,台燿,1.47,510000
6805,富世達,1.37,240000
6584,南俊國際,1.35,661000
3131,弘塑,1.23,124000
6531,愛普*,1.11,567000
4991,環宇-KY,1.11,552000
3529,力旺,1.11,89000
5347,世界,0.97,2401000
6271,同欣電,0.96,1695000
2368,金像電,0.89,248000
2308,台達電,0.83,147000
2486,一詮,0.73,1297000
3036,文曄,0.7,999000
8021,尖點,0.7,583920
3661,世芯-KY,0.7,65000
3189,景碩,0.58,484013
3491,昇達科,0.4,78000
3711,日月光投控,0.35,258000
3324,雙鴻,0.31,99000
2337,旺宏,0.3,739000
3260,威剛,0.3,268000
5289,宜鼎,0.3,98000
6781,AES-KY,0.23,74000
2344,華邦電,0.19,724000
