code,name,weight,shares
2330,台積電,7.69,556000
8299,群聯,5.16,394000
2308,台達電,5.0,504000
2345,智邦,4.74,488000
2408,南亞科,4.51,2279000
3017,奇鋐,4.05,331000
3037,欣興,3.98,1193000
8996,高力,3.65,599000
6223,旺矽,3.57,175000
6515,穎崴,3.55,100000
3163,波若威,3.29,612000
2059,川湖,3.2,134000
7769,鴻勁,3.1,92000
2360,致茂,2.99,313000
2383,台光電,2.77,164000
3665,貿聯-KY,2.12,217000
2449,京元電子,2.11,932000
2454,聯發科,2.04,151000
3533,嘉澤,2.02,164000
5347,世界,1.94,2101000
6442,光聖,1.84,124000
3324,雙鴻,1.81,226000
5274,信驊,1.75,26000
6781,AES-KY,1.6,191000
4749,新應材,1.52,240000
1519,華城,1.51,204000
8358,金居,1.43,713000
6669,緯穎,1.39,50000
3529,力旺,1.25,71000
2486,一詮,1.12,1150000
8210,勤誠,1.05,165000
8021,尖點,0.9,509920
6274,台燿,0.9,238000
3661,世芯-KY,0.9,37000
5289,宜鼎,0.85,157000
6531,愛普*,0.74,245000
7751,竑騰,0.7,83000
6805,富世達,0.65,55000
8046,南電,0.62,160000
2317,鴻海,0.55,325000
3189,景碩,0.46,213000
3443,創意,0.44,23000
6584,南俊國際,0.4,136000
2368,金像電,0.34,60000
2344,華邦電,0.32,379000
3653,健策,0.3,14000
5439,高技,0.26,126000
