code,name,weight,shares
2330,台積電,8.69,556000
2308,台達電,4.99,494000
2345,智邦,4.78,433000
8299,群聯,4.62,272000
3017,奇鋐,4.02,329000
2059,川湖,3.89,127000
3665,貿聯-KY,3.76,299000
6223,旺矽,3.45,167000
6515,穎崴,3.05,96000
2383,台光電,2.92,200000
7769,鴻勁,2.76,87000
2360,致茂,2.73,307000
5347,世界,2.58,2060000
1519,華城,2.5,289000
8996,高力,2.21,362000
3131,弘塑,2.17,135000
2408,南亞科,2.13,950000
2451,創見,2.13,934000
3260,威剛,2.13,804000
6669,緯穎,2.09,61000
3163,波若威,1.98,612000
6781,AES-KY,1.91,179000
3661,世芯-KY,1.86,62000
4749,新應材,1.83,228000
5274,信驊,1.8,23000
8358,金居,1.7,696000
5536,聖暉*,1.66,234000
2368,金像電,1.6,264000
2327,國巨*,1.48,583000
6442,光聖,1.4,124000
8210,勤誠,1.35,162000
3529,力旺,1.07,71000
2449,京元電子,1.06,432000
2344,華邦電,1.03,1079000
6531,愛普*,1.01,233000
8021,尖點,0.98,492000
5289,宜鼎,0.94,154000
3037,欣興,0.74,302000
2317,鴻海,0.66,314000
6805,富世達,0.62,52000
3443,創意,0.52,23000
8046,南電,0.38,147000
3189,景碩,0.36,209000
3324,雙鴻,0.35,40000
5439,高技,0.33,120000
3653,健策,0.3,14000
6584,南俊國際,0.29,104000
