code,name,prev_shares,curr_shares,delta,status
1519,華城,204000,204000,0,SAME
2059,川湖,134000,134000,0,SAME
2308,台達電,504000,504000,0,SAME
2317,鴻海,325000,325000,0,SAME
2327,國巨*,595000,595000,0,SAME
2330,台積電,556000,556000,0,SAME
2344,華邦電,1079000,1079000,0,SAME
2345,智邦,488000,488000,0,SAME
2360,致茂,313000,313000,0,SAME
2368,金像電,60000,60000,0,SAME
2383,台光電,224000,224000,0,SAME
2408,南亞科,968000,968000,0,SAME
2449,京元電子,932000,932000,0,SAME
2451,創見,463000,463000,0,SAME
2454,聯發科,85000,85000,0,SAME
2486,一詮,1150000,1150000,0,SAME
3017,奇鋐,331000,331000,0,SAME
3037,欣興,858000,858000,0,SAME
3131,弘塑,141000,141000,0,SAME
3163,波若威,612000,612000,0,SAME
3189,景碩,213000,213000,0,SAME
3231,緯創,827000,827000,0,SAME
3260,威剛,819000,819000,0,SAME
3324,雙鴻,91000,91000,0,SAME
3443,創意,23000,23000,0,SAME
3529,力旺,71000,71000,0,SAME
3653,健策,14000,14000,0,SAME
3661,世芯-KY,64000,64000,0,SAME
3665,貿聯-KY,387000,387000,0,SAME
4749,新應材,240000,240000,0,SAME
5274,信驊,26000,26000,0,SAME
5289,宜鼎,157000,157000,0,SAME
5347,世界,2101000,2101000,0,SAME
5439,高技,126000,126000,0,SAME
5536,聖暉*,7000,7000,0,SAME
6223,旺矽,175000,175000,0,SAME
6274,台燿,238000,238000,0,SAME
6415,矽力*-KY,840000,840000,0,SAME
6442,光聖,124000,124000,0,SAME
6515,穎崴,101000,101000,0,SAME
6531,愛普*,245000,245000,0,SAME
6584,南俊國際,136000,136000,0,SAME
6669,緯穎,50000,50000,0,SAME
6781,AES-KY,191000,191000,0,SAME
6805,富世達,55000,55000,0,SAME
7769,鴻勁,92000,92000,0,SAME
8021,尖點,509920,509920,0,SAME
8046,南電,160000,160000,0,SAME
8210,勤誠,165000,165000,0,SAME
8299,群聯,327000,327000,0,SAME
8358,金居,713000,713000,0,SAME
8996,高力,412000,412000,0,SAME
