code,name,weight,shares
2330,台積電,6.71,949000
2383,台光電,4.42,340000
3105,穩懋,4.0,2408000
6515,穎崴,3.89,117000
2345,智邦,3.86,560000
3037,欣興,3.76,1720000
8996,高力,3.75,993000
6442,光聖,3.68,523000
6223,旺矽,3.43,206000
3665,貿聯-KY,3.29,405000
3017,奇鋐,3.23,390000
3533,嘉澤,3.08,362000
8299,群聯,2.99,557000
3163,波若威,2.74,712000
2360,致茂,2.7,389000
2059,川湖,2.35,201000
8046,南電,2.21,904000
7769,鴻勁,2.18,150000
6510,精測,2.0,161000
6669,緯穎,1.93,154000
7751,竑騰,1.88,300000
2408,南亞科,1.85,2562000
4749,新應材,1.68,555000
6274,台燿,1.6,492000
3653,健策,1.57,106000
3081,聯亞,1.56,195000
5274,信驊,1.52,31000
8358,金居,1.5,1326000
6805,富世達,1.49,231000
6584,南俊國際,1.46,637000
3131,弘塑,1.32,120000
6531,愛普*,1.13,567000
3529,力旺,1.12,89000
4991,環宇-KY,1.09,538000
5347,世界,1.08,2400000
6271,同欣電,1.06,1695000
2368,金像電,0.94,239000
2308,台達電,0.89,142000
2486,一詮,0.81,1296000
3036,文曄,0.79,998000
3443,創意,0.77,68000
3661,世芯-KY,0.74,63000
8021,尖點,0.7,583920
3189,景碩,0.64,483013
3491,昇達科,0.44,75000
3711,日月光投控,0.38,249000
3324,雙鴻,0.35,98000
5289,宜鼎,0.35,94000
2337,旺宏,0.33,707000
3260,威剛,0.3,243000
6781,AES-KY,0.24,71000
2344,華邦電,0.21,698000
