code,name,weight,shares
2330,台積電,8.53,556000
2345,智邦,4.88,433000
2308,台達電,4.69,494000
3017,奇鋐,4.44,354000
8299,群聯,4.43,272000
3665,貿聯-KY,3.99,299000
2059,川湖,3.92,127000
6223,旺矽,3.38,167000
2383,台光電,3.18,223000
6515,穎崴,3.04,97000
6669,緯穎,2.9,81000
7769,鴻勁,2.77,88000
2360,致茂,2.69,307000
1519,華城,2.41,292000
5347,世界,2.39,2073000
8996,高力,2.35,366000
3131,弘塑,2.25,139000
2408,南亞科,2.05,950000
2451,創見,2.04,945000
3260,威剛,2.04,804000
3163,波若威,2.03,612000
6781,AES-KY,1.93,182000
3661,世芯-KY,1.87,62000
5274,信驊,1.83,23000
5536,聖暉*,1.74,238000
8358,金居,1.69,696000
2368,金像電,1.6,264000
6442,光聖,1.49,124000
2327,國巨*,1.45,585000
8210,勤誠,1.37,162000
3529,力旺,1.1,72000
4749,新應材,1.09,132000
2449,京元電子,1.06,438000
8021,尖點,1.01,500000
6531,愛普*,0.99,233000
2344,華邦電,0.97,1079000
5289,宜鼎,0.9,154000
3037,欣興,0.83,365000
2317,鴻海,0.67,314000
6805,富世達,0.6,52000
3443,創意,0.55,24000
8046,南電,0.35,147000
3324,雙鴻,0.35,40000
5439,高技,0.34,120000
3189,景碩,0.33,209000
3653,健策,0.3,14000
6584,南俊國際,0.29,104000
