code,name,weight,shares
2330,台積電,6.11,607000
6515,穎崴,4.97,109000
2383,台光電,4.72,316000
2345,智邦,4.6,539000
3017,奇鋐,3.92,362000
6223,旺矽,3.92,192000
8299,群聯,3.71,396000
3533,嘉澤,3.66,336000
6442,光聖,3.27,304000
3037,欣興,3.2,1250000
3163,波若威,3.09,662000
2360,致茂,2.98,362000
7769,鴻勁,2.88,139000
2408,南亞科,2.87,2382000
8996,高力,2.81,655000
2059,川湖,2.78,142000
4749,新應材,2.42,504000
7751,竑騰,2.35,279000
8046,南電,2.3,840000
2308,台達電,2.17,275000
3653,健策,2.15,98000
5274,信驊,1.7,28000
3105,穩懋,1.58,904000
5347,世界,1.4,2230000
6584,南俊國際,1.38,458000
6669,緯穎,1.35,65000
6805,富世達,1.22,119000
6781,AES-KY,1.18,194000
4991,環宇-KY,1.11,500000
2368,金像電,1.1,222000
1519,華城,1.01,207000
6531,愛普*,1.0,359000
3661,世芯-KY,1.0,58000
2486,一詮,0.98,1204000
3529,力旺,0.93,66000
8358,金居,0.92,748000
3443,創意,0.91,65000
2449,京元電子,0.86,552000
8210,勤誠,0.82,169000
3189,景碩,0.8,447013
8021,尖點,0.72,557920
6274,台燿,0.68,225000
5289,宜鼎,0.48,88000
2317,鴻海,0.37,342000
5439,高技,0.31,201000
3324,雙鴻,0.3,54000
2344,華邦電,0.28,513000
