code,name,weight,shares
2330,台積電,7.46,1761000
6669,緯穎,5.06,465000
2383,台光電,4.93,536000
3661,世芯-KY,3.92,393000
3037,欣興,3.78,2302000
3443,創意,3.77,360000
2059,川湖,3.66,358000
8299,群聯,3.64,711000
3665,貿聯-KY,3.48,667000
2345,智邦,3.4,716000
8996,高力,3.35,1689000
3105,穩懋,3.3,3433000
6510,精測,3.06,422000
6223,旺矽,2.98,289000
6515,穎崴,2.82,151000
8046,南電,2.8,1658000
7769,鴻勁,2.5,194000
3533,嘉澤,2.46,468000
3017,奇鋐,2.37,501000
2360,致茂,2.23,487000
3081,聯亞,2.18,380000
2408,南亞科,1.98,3280000
6442,光聖,1.91,535000
3163,波若威,1.85,923000
2368,金像電,1.75,669000
6274,台燿,1.73,636000
6584,南俊國際,1.71,1337000
5274,信驊,1.52,45000
2308,台達電,1.47,357000
3653,健策,1.45,197000
6531,愛普*,1.39,703000
2455,全新,1.36,1927000
7751,竑騰,1.33,387000
2454,聯發科,1.25,180000
4991,環宇-KY,0.96,692000
3036,文曄,0.61,1177000
5289,宜鼎,0.48,142000
3189,景碩,0.45,486013
2337,旺宏,0.37,1271000
3260,威剛,0.33,393000
3711,日月光投控,0.33,320000
3491,昇達科,0.32,97000
3324,雙鴻,0.3,151000
2344,華邦電,0.2,893000
3583,辛耘,0.06,33000
