code,name,weight,shares
2330,台積電,7.97,1761000
2383,台光電,4.94,536000
6669,緯穎,4.75,465000
2345,智邦,4.58,916000
3037,欣興,3.77,2302000
8299,群聯,3.76,711000
3661,世芯-KY,3.61,393000
8996,高力,3.51,1689000
3443,創意,3.48,360000
2059,川湖,3.47,358000
6223,旺矽,3.4,289000
6510,精測,3.15,422000
3105,穩懋,3.14,3433000
6515,穎崴,2.95,151000
3665,貿聯-KY,2.79,667000
7769,鴻勁,2.67,194000
8046,南電,2.6,1658000
3017,奇鋐,2.46,501000
2408,南亞科,2.04,3280000
3081,聯亞,2.01,380000
3533,嘉澤,1.95,420000
6584,南俊國際,1.76,1337000
3163,波若威,1.75,923000
2368,金像電,1.72,669000
6274,台燿,1.66,636000
5274,信驊,1.55,45000
6531,愛普*,1.52,703000
2308,台達電,1.48,357000
2455,全新,1.38,1927000
3653,健策,1.36,197000
7751,竑騰,1.26,387000
2454,聯發科,1.17,180000
2360,致茂,0.93,207000
4991,環宇-KY,0.89,692000
6442,光聖,0.83,238000
3036,文曄,0.63,1177000
5289,宜鼎,0.5,142000
3189,景碩,0.47,486013
2337,旺宏,0.41,1271000
3711,日月光投控,0.35,320000
3260,威剛,0.33,393000
3491,昇達科,0.33,97000
3324,雙鴻,0.3,151000
2344,華邦電,0.23,893000
2327,國巨*,0.18,200000
3583,辛耘,0.06,33000
