code,name,weight,shares
2330,台積電,7.81,556000
2345,智邦,5.23,488000
8299,群聯,4.91,394000
2308,台達電,4.77,504000
3017,奇鋐,4.28,331000
7769,鴻勁,3.87,127000
6515,穎崴,3.86,100000
2383,台光電,3.7,219000
6223,旺矽,3.69,175000
3037,欣興,3.6,1193000
8996,高力,3.25,599000
2059,川湖,3.12,134000
3163,波若威,3.09,612000
2360,致茂,3.01,313000
2408,南亞科,2.74,1679000
3665,貿聯-KY,2.69,217000
5347,世界,2.13,2501000
2449,京元電子,1.97,932000
2454,聯發科,1.95,151000
3533,嘉澤,1.92,164000
5274,信驊,1.87,26000
4749,新應材,1.7,240000
6442,光聖,1.65,124000
3324,雙鴻,1.57,226000
6669,緯穎,1.52,50000
6781,AES-KY,1.45,191000
7751,竑騰,1.39,166000
1519,華城,1.38,204000
8358,金居,1.29,713000
8210,勤誠,1.12,165000
2486,一詮,1.09,1150000
3529,力旺,1.05,62000
5289,宜鼎,1.0,157000
3661,世芯-KY,0.86,37000
8021,尖點,0.84,509920
6274,台燿,0.84,238000
6531,愛普*,0.77,245000
6805,富世達,0.71,55000
2317,鴻海,0.53,325000
8046,南電,0.53,160000
3189,景碩,0.49,237013
3443,創意,0.39,23000
6584,南俊國際,0.36,136000
2368,金像電,0.35,60000
3653,健策,0.35,14000
2344,華邦電,0.3,379000
5439,高技,0.24,126000
