code,name,prev_shares,curr_shares,delta,status
5347,世界,1000000,2073000,1073000,UP
2327,國巨*,68000,585000,517000,UP
3661,世芯-KY,30000,63000,33000,UP
2059,川湖,130000,129000,-1000,DOWN
3529,力旺,74000,73000,-1000,DOWN
5289,宜鼎,158000,157000,-1000,DOWN
5439,高技,123000,122000,-1000,DOWN
6223,旺矽,171000,170000,-1000,DOWN
6669,緯穎,84000,83000,-1000,DOWN
6805,富世達,56000,55000,-1000,DOWN
2368,金像電,271000,269000,-2000,DOWN
3189,景碩,215000,213000,-2000,DOWN
8299,群聯,343000,341000,-2000,DOWN
2317,鴻海,323000,320000,-3000,DOWN
2345,智邦,353000,350000,-3000,DOWN
2383,台光電,232000,229000,-3000,DOWN
3665,貿聯-KY,308000,305000,-3000,DOWN
2308,台達電,506000,502000,-4000,DOWN
2330,台積電,569000,565000,-4000,DOWN
3017,奇鋐,366000,362000,-4000,DOWN
6274,台燿,597000,592000,-5000,DOWN
3163,波若威,631000,625000,-6000,DOWN
3260,威剛,826000,819000,-7000,DOWN
3324,雙鴻,230000,130000,-100000,DOWN
1519,華城,292000,292000,0,SAME
2344,華邦電,1079000,1079000,0,SAME
2360,致茂,307000,307000,0,SAME
2382,廣達,213000,213000,0,SAME
2408,南亞科,950000,950000,0,SAME
2449,京元電子,438000,438000,0,SAME
2451,創見,945000,945000,0,SAME
3037,欣興,365000,365000,0,SAME
3131,弘塑,139000,139000,0,SAME
3443,創意,25000,25000,0,SAME
3653,健策,14000,14000,0,SAME
4749,新應材,132000,132000,0,SAME
5274,信驊,9000,9000,0,SAME
5536,聖暉*,238000,238000,0,SAME
6442,光聖,124000,124000,0,SAME
6515,穎崴,97000,97000,0,SAME
6531,愛普*,233000,233000,0,SAME
6584,南俊國際,104000,104000,0,SAME
6781,AES-KY,182000,182000,0,SAME
7769,鴻勁,88000,88000,0,SAME
8021,尖點,500000,500000,0,SAME
8046,南電,147000,147000,0,SAME
8210,勤誠,162000,162000,0,SAME
8358,金居,696000,696000,0,SAME
8996,高力,366000,366000,0,SAME
