code,name,weight,shares
2330,台積電,7.97,1761000
3037,欣興,5.86,2902000
2383,台光電,5.34,536000
2345,智邦,4.86,1012000
6223,旺矽,3.95,339000
6669,緯穎,3.9,400000
8996,高力,3.61,1674000
2454,聯發科,3.58,412000
3443,創意,3.26,360000
3105,穩懋,3.16,3033000
2059,川湖,2.99,323000
3665,貿聯-KY,2.78,667000
6515,穎崴,2.71,151000
3017,奇鋐,2.55,501000
3661,世芯-KY,2.48,293000
8299,群聯,2.36,489000
2327,國巨*,2.34,1600000
2455,全新,2.18,2827000
3711,日月光投控,2.03,1640000
3081,聯亞,1.98,380000
6584,南俊國際,1.95,1437000
6274,台燿,1.93,636000
8046,南電,1.77,1058000
6510,精測,1.76,272000
2368,金像電,1.72,669000
2308,台達電,1.68,357000
7769,鴻勁,1.52,100000
3653,健策,1.36,197000
7751,竑騰,1.31,384000
2360,致茂,1.05,207000
5274,信驊,1.05,30000
4991,環宇-KY,0.8,574000
3189,景碩,0.65,486013
6531,愛普*,0.58,271000
5289,宜鼎,0.53,157000
2337,旺宏,0.46,1465000
8021,尖點,0.43,518000
7734,印能科技,0.43,59000
6139,亞翔,0.39,259000
6805,富世達,0.39,112000
3260,威剛,0.31,393000
6442,光聖,0.3,80000
3533,嘉澤,0.24,48000
3491,昇達科,0.19,47000
3583,辛耘,0.06,33000
