code,name,weight,shares
2330,台積電,8.08,556000
2308,台達電,5.04,494000
8299,群聯,4.71,272000
2345,智邦,4.51,478000
3665,貿聯-KY,4.39,379000
6223,旺矽,3.84,172000
3017,奇鋐,3.77,325000
2059,川湖,3.73,131000
6515,穎崴,3.45,99000
2383,台光電,3.27,220000
7769,鴻勁,2.77,90000
5347,世界,2.68,2060000
2360,致茂,2.59,307000
3260,威剛,2.34,804000
2449,京元電子,2.28,932000
2408,南亞科,2.15,950000
8996,高力,2.13,362000
3163,波若威,2.12,612000
3131,弘塑,1.99,138000
6415,矽力*-KY,1.93,824000
5274,信驊,1.86,26000
6781,AES-KY,1.82,188000
3661,世芯-KY,1.79,64000
1519,華城,1.66,200000
8358,金居,1.61,699000
4749,新應材,1.61,235000
6669,緯穎,1.51,50000
6442,光聖,1.45,124000
2327,國巨*,1.4,583000
8210,勤誠,1.28,162000
5536,聖暉*,1.18,220000
3529,力旺,1.04,71000
2344,華邦電,1.02,1079000
3037,欣興,1.02,352000
6274,台燿,0.96,223000
5289,宜鼎,0.96,154000
8021,尖點,0.93,492000
3231,緯創,0.91,827000
2451,創見,0.89,454000
6531,愛普*,0.86,240000
3324,雙鴻,0.68,90000
6805,富世達,0.63,54000
2317,鴻海,0.59,319000
8046,南電,0.51,157000
3443,創意,0.49,23000
3189,景碩,0.39,209000
2368,金像電,0.34,60000
6584,南俊國際,0.32,134000
3653,健策,0.32,14000
5439,高技,0.31,124000
2486,一詮,0.16,150000
