code,name,weight,shares
2330,台積電,7.84,1761000
2383,台光電,5.13,537000
6669,緯穎,4.37,465000
3037,欣興,3.97,2302000
3443,創意,3.78,360000
3661,世芯-KY,3.63,393000
3665,貿聯-KY,3.57,667000
2345,智邦,3.53,716000
8996,高力,3.5,1689000
3105,穩懋,3.31,3433000
8299,群聯,3.27,711000
6442,光聖,3.17,785000
6510,精測,3.03,422000
6515,穎崴,2.87,151000
6223,旺矽,2.8,289000
3533,嘉澤,2.57,468000
2059,川湖,2.41,258000
3017,奇鋐,2.33,501000
2360,致茂,2.18,487000
7769,鴻勁,2.18,194000
8046,南電,2.02,1108000
3081,聯亞,1.95,380000
3163,波若威,1.93,923000
2368,金像電,1.87,669000
6584,南俊國際,1.83,1337000
2408,南亞科,1.81,3280000
6274,台燿,1.77,636000
7751,竑騰,1.61,388000
2308,台達電,1.57,357000
5274,信驊,1.55,45000
3653,健策,1.47,197000
2455,全新,1.27,1927000
6531,愛普*,1.25,703000
2454,聯發科,1.19,180000
3131,弘塑,0.93,154000
4991,環宇-KY,0.92,692000
3036,文曄,0.5,1177000
3189,景碩,0.46,486013
5289,宜鼎,0.43,142000
2337,旺宏,0.4,1271000
3260,威剛,0.35,393000
3711,日月光投控,0.33,320000
3324,雙鴻,0.31,151000
3491,昇達科,0.3,97000
2344,華邦電,0.2,893000
3583,辛耘,0.05,33000
