code,name,weight,shares
2330,台積電,7.74,1761000
2383,台光電,4.93,537000
6669,緯穎,4.36,465000
8996,高力,4.06,1689000
3037,欣興,4.05,2302000
3665,貿聯-KY,3.79,667000
3105,穩懋,3.47,3433000
2345,智邦,3.46,716000
3017,奇鋐,3.35,601000
6442,光聖,3.16,785000
6515,穎崴,3.12,151000
6510,精測,3.08,422000
6223,旺矽,2.88,289000
8299,群聯,2.76,711000
3533,嘉澤,2.36,468000
3443,創意,2.35,260000
3163,波若威,2.24,923000
3661,世芯-KY,2.24,273000
2360,致茂,2.17,487000
8046,南電,2.11,1108000
2059,川湖,2.02,258000
3653,健策,2.02,197000
7769,鴻勁,2.02,194000
3081,聯亞,2.01,380000
7751,竑騰,1.99,388000
2368,金像電,1.86,669000
6584,南俊國際,1.74,1337000
2308,台達電,1.53,357000
5274,信驊,1.52,45000
2408,南亞科,1.5,3280000
4749,新應材,1.39,701000
6274,台燿,1.36,636000
2455,全新,1.32,1927000
6531,愛普*,1.25,703000
2454,聯發科,1.0,180000
3131,弘塑,0.91,154000
4991,環宇-KY,0.9,692000
6271,同欣電,0.89,2589000
3189,景碩,0.5,486013
3036,文曄,0.48,1177000
2337,旺宏,0.38,1271000
5289,宜鼎,0.36,142000
3324,雙鴻,0.35,151000
3260,威剛,0.33,393000
3711,日月光投控,0.32,320000
3491,昇達科,0.32,97000
2344,華邦電,0.16,893000
3583,辛耘,0.05,33000
