code,name,weight,shares
2330,台積電,7.56,556000
2345,智邦,5.14,488000
8299,群聯,5.02,394000
2308,台達電,4.79,504000
3017,奇鋐,4.39,331000
7769,鴻勁,3.85,127000
6515,穎崴,3.78,100000
6223,旺矽,3.73,175000
2383,台光電,3.72,219000
3037,欣興,3.71,1193000
8996,高力,3.35,599000
3163,波若威,3.18,612000
2360,致茂,3.1,313000
2059,川湖,3.09,134000
2408,南亞科,2.82,1679000
3665,貿聯-KY,2.76,217000
5347,世界,2.13,2501000
2454,聯發科,1.92,151000
2449,京元電子,1.91,932000
3533,嘉澤,1.85,164000
5274,信驊,1.82,26000
4749,新應材,1.75,240000
6442,光聖,1.69,124000
3324,雙鴻,1.61,226000
6669,緯穎,1.52,50000
7751,竑騰,1.43,166000
6781,AES-KY,1.42,191000
1519,華城,1.36,204000
8358,金居,1.32,713000
2486,一詮,1.12,1150000
8210,勤誠,1.11,165000
3529,力旺,1.07,62000
5289,宜鼎,0.91,157000
3661,世芯-KY,0.88,37000
8021,尖點,0.86,509920
6274,台燿,0.86,238000
6531,愛普*,0.77,245000
6805,富世達,0.73,55000
8046,南電,0.54,160000
2317,鴻海,0.52,325000
3189,景碩,0.45,213000
3443,創意,0.39,23000
6584,南俊國際,0.37,136000
2368,金像電,0.34,60000
3653,健策,0.34,14000
2344,華邦電,0.29,379000
5439,高技,0.25,126000
