code,name,weight,shares
2330,台積電,7.72,556000
2308,台達電,4.92,504000
8299,群聯,4.83,277000
2345,智邦,4.36,488000
3665,貿聯-KY,4.25,387000
3017,奇鋐,3.7,331000
6223,旺矽,3.55,175000
2059,川湖,3.46,134000
2383,台光電,3.25,224000
6515,穎崴,3.1,101000
7769,鴻勁,2.66,92000
5347,世界,2.61,2101000
2360,致茂,2.47,313000
8996,高力,2.44,412000
3260,威剛,2.31,819000
2449,京元電子,2.21,932000
2408,南亞科,2.19,968000
3163,波若威,2.18,612000
3131,弘塑,1.94,141000
6415,矽力*-KY,1.84,840000
6781,AES-KY,1.82,191000
5274,信驊,1.75,26000
3661,世芯-KY,1.65,64000
1519,華城,1.62,204000
4749,新應材,1.58,240000
8358,金居,1.5,713000
6442,光聖,1.49,124000
6669,緯穎,1.41,50000
2327,國巨*,1.3,595000
8210,勤誠,1.19,165000
2486,一詮,1.15,1150000
3529,力旺,1.07,71000
2344,華邦電,1.05,1079000
3037,欣興,1.0,358000
6274,台燿,0.98,238000
5289,宜鼎,0.93,157000
8021,尖點,0.89,502000
2451,創見,0.89,463000
3231,緯創,0.85,827000
6531,愛普*,0.82,245000
3324,雙鴻,0.65,91000
6805,富世達,0.63,55000
2317,鴻海,0.56,325000
8046,南電,0.48,160000
3443,創意,0.45,23000
3189,景碩,0.4,213000
2368,金像電,0.33,60000
6584,南俊國際,0.3,136000
5439,高技,0.3,126000
3653,健策,0.3,14000
2454,聯發科,0.2,15000
5536,聖暉*,0.04,7000
