code,name,weight,shares
2330,台積電,7.73,1761000
3037,欣興,5.17,2902000
2383,台光電,4.95,536000
2345,智邦,4.94,1012000
6669,緯穎,4.89,465000
3661,世芯-KY,3.79,393000
6223,旺矽,3.77,339000
3443,創意,3.59,360000
8996,高力,3.54,1689000
2059,川湖,3.45,358000
3105,穩懋,3.26,3433000
7769,鴻勁,2.93,194000
8046,南電,2.85,1658000
3665,貿聯-KY,2.83,667000
6515,穎崴,2.83,151000
6510,精測,2.78,422000
3017,奇鋐,2.46,501000
2455,全新,2.38,3127000
8299,群聯,2.25,489000
3533,嘉澤,2.09,420000
6584,南俊國際,1.92,1437000
3081,聯亞,1.91,380000
3163,波若威,1.9,923000
2454,聯發科,1.9,272000
2327,國巨*,1.8,1600000
2368,金像電,1.69,669000
6274,台燿,1.66,636000
5274,信驊,1.46,45000
2308,台達電,1.43,357000
3653,健策,1.29,197000
7751,竑騰,1.26,387000
2360,致茂,0.92,207000
4991,環宇-KY,0.84,574000
6442,光聖,0.84,238000
3036,文曄,0.68,1177000
3189,景碩,0.53,486013
6531,愛普*,0.47,273000
3491,昇達科,0.35,97000
3260,威剛,0.32,393000
3711,日月光投控,0.32,320000
3583,辛耘,0.06,33000
