code,name,weight,shares
2330,台積電,7.65,1761000
2383,台光電,5.13,537000
6669,緯穎,4.46,465000
3037,欣興,3.82,2302000
8996,高力,3.8,1689000
3665,貿聯-KY,3.54,667000
2345,智邦,3.44,716000
3105,穩懋,3.32,3433000
8299,群聯,3.19,711000
6442,光聖,3.12,785000
6510,精測,3.1,422000
6515,穎崴,2.95,151000
3017,奇鋐,2.83,601000
6223,旺矽,2.76,289000
3443,創意,2.49,260000
3533,嘉澤,2.47,468000
3661,世芯-KY,2.41,273000
2360,致茂,2.21,487000
2059,川湖,2.19,258000
7769,鴻勁,2.14,194000
3163,波若威,2.02,923000
8046,南電,2.01,1108000
3081,聯亞,1.95,380000
2368,金像電,1.87,669000
6584,南俊國際,1.84,1337000
2408,南亞科,1.79,3280000
7751,竑騰,1.79,388000
3653,健策,1.64,197000
5274,信驊,1.63,45000
6274,台燿,1.62,636000
2308,台達電,1.52,357000
6531,愛普*,1.31,703000
2455,全新,1.3,1927000
2454,聯發科,1.19,180000
4991,環宇-KY,0.97,692000
3131,弘塑,0.95,154000
3036,文曄,0.49,1177000
3189,景碩,0.45,486013
2337,旺宏,0.42,1271000
5289,宜鼎,0.4,142000
3260,威剛,0.35,393000
6271,同欣電,0.34,970000
3711,日月光投控,0.32,320000
3324,雙鴻,0.32,151000
3491,昇達科,0.3,97000
2344,華邦電,0.19,893000
3583,辛耘,0.05,33000
