code,name,weight,shares
2330,台積電,8.54,569000
8299,群聯,5.2,343000
2308,台達電,4.55,506000
3017,奇鋐,4.42,366000
2345,智邦,3.98,353000
3665,貿聯-KY,3.87,308000
2059,川湖,3.65,130000
6669,緯穎,3.48,84000
6223,旺矽,3.23,171000
2383,台光電,3.19,232000
6515,穎崴,2.74,97000
2360,致茂,2.53,307000
6274,台燿,2.48,597000
7769,鴻勁,2.45,88000
3131,弘塑,2.27,139000
2451,創見,2.17,945000
3260,威剛,2.1,826000
3163,波若威,2.1,631000
2408,南亞科,2.04,950000
6781,AES-KY,2.04,182000
3324,雙鴻,1.94,230000
1519,華城,1.91,292000
8996,高力,1.88,366000
6584,南俊國際,1.68,584000
5536,聖暉*,1.67,238000
8358,金居,1.58,696000
2368,金像電,1.53,271000
6442,光聖,1.47,124000
8210,勤誠,1.33,162000
3529,力旺,1.1,74000
4749,新應材,1.07,132000
2344,華邦電,1.04,1079000
2449,京元電子,1.03,438000
3661,世芯-KY,0.96,30000
6531,愛普*,0.94,233000
5289,宜鼎,0.91,158000
8021,尖點,0.87,500000
3231,緯創,0.79,589000
3037,欣興,0.74,365000
6805,富世達,0.68,56000
2317,鴻海,0.66,323000
5274,信驊,0.61,9000
3443,創意,0.55,25000
2382,廣達,0.52,213000
5439,高技,0.34,123000
3189,景碩,0.32,215000
8046,南電,0.31,147000
3653,健策,0.3,14000
