code,name,weight,shares
2330,台積電,8.05,569000
3017,奇鋐,5.05,366000
8299,群聯,4.54,343000
2383,台光電,4.46,297000
2308,台達電,4.45,506000
3665,貿聯-KY,4.27,308000
2345,智邦,3.95,365000
2059,川湖,3.53,103000
6223,旺矽,3.51,171000
6669,緯穎,3.44,84000
7769,鴻勁,2.75,88000
6274,台燿,2.71,600000
6515,穎崴,2.52,97000
3163,波若威,2.3,631000
6781,AES-KY,2.22,183000
2360,致茂,2.17,307000
3324,雙鴻,2.12,230000
3260,威剛,2.11,826000
1519,華城,2.05,294000
6805,富世達,2.05,138000
3131,弘塑,1.98,139000
8996,高力,1.94,366000
6584,南俊國際,1.85,584000
5536,聖暉*,1.8,253000
2451,創見,1.7,950000
2368,金像電,1.7,271000
2408,南亞科,1.68,955000
8210,勤誠,1.67,182000
6442,光聖,1.54,124000
3529,力旺,1.17,74000
2449,京元電子,0.99,440000
3661,世芯-KY,0.96,30000
2382,廣達,0.9,363000
5289,宜鼎,0.83,158000
2344,華邦電,0.81,1079000
3231,緯創,0.81,592000
3037,欣興,0.74,368000
2317,鴻海,0.68,323000
5274,信驊,0.6,9000
3443,創意,0.49,25000
6531,愛普*,0.34,83000
8046,南電,0.32,147000
3189,景碩,0.31,215000
5439,高技,0.3,103000
3653,健策,0.3,12000
