code,name,weight,shares
2330,台積電,5.7,1311000
2383,台光電,4.61,538000
8996,高力,4.27,1689000
6669,緯穎,4.13,465000
3105,穩懋,4.02,3433000
3665,貿聯-KY,3.84,667000
3037,欣興,3.52,2310000
6510,精測,3.4,422000
6515,穎崴,3.39,151000
3017,奇鋐,3.37,601000
6442,光聖,3.32,785000
2345,智邦,3.12,716000
6223,旺矽,2.9,289000
8299,群聯,2.54,711000
3533,嘉澤,2.41,468000
3081,聯亞,2.4,380000
3163,波若威,2.24,924000
3653,健策,2.19,197000
3443,創意,2.13,260000
6584,南俊國際,2.06,1337000
2360,致茂,1.98,487000
7769,鴻勁,1.95,194000
2059,川湖,1.93,258000
8046,南電,1.84,1108000
7751,竑騰,1.78,388000
2368,金像電,1.77,669000
2308,台達電,1.48,357000
5274,信驊,1.47,45000
4749,新應材,1.46,701000
3661,世芯-KY,1.44,173000
2408,南亞科,1.43,3280000
3529,力旺,1.29,155000
6274,台燿,1.26,636000
8358,金居,1.2,1548000
6805,富世達,1.19,298000
6531,愛普*,1.15,703000
3131,弘塑,1.01,154000
6271,同欣電,0.96,2589000
4991,環宇-KY,0.92,692000
8021,尖點,0.68,691920
3036,文曄,0.51,1177000
3189,景碩,0.49,486013
2454,聯發科,0.37,80000
3324,雙鴻,0.35,151000
2337,旺宏,0.33,1271000
3260,威剛,0.33,393000
5289,宜鼎,0.33,142000
3711,日月光投控,0.31,320000
3491,昇達科,0.31,97000
2486,一詮,0.26,567000
2344,華邦電,0.16,893000
