code,name,weight,shares
2330,台積電,7.33,1761000
3037,欣興,5.78,2902000
2383,台光電,5.2,536000
2345,智邦,4.86,1012000
6669,緯穎,4.5,465000
6223,旺矽,3.88,339000
8996,高力,3.86,1689000
3105,穩懋,3.54,3433000
3443,創意,3.49,360000
3661,世芯-KY,3.34,393000
2059,川湖,3.31,358000
8046,南電,2.8,1658000
3665,貿聯-KY,2.77,667000
6510,精測,2.64,422000
3017,奇鋐,2.5,501000
6515,穎崴,2.47,151000
2455,全新,2.43,3127000
8299,群聯,2.25,489000
3081,聯亞,2.2,380000
2454,聯發科,2.13,272000
3163,波若威,2.07,923000
3533,嘉澤,2.03,420000
2327,國巨*,1.94,1600000
7769,鴻勁,1.94,134000
6274,台燿,1.84,636000
6584,南俊國際,1.82,1437000
2368,金像電,1.77,669000
2308,台達電,1.54,357000
3653,健策,1.33,197000
7751,竑騰,1.25,387000
6442,光聖,0.99,238000
2360,致茂,0.95,207000
5274,信驊,0.95,30000
4991,環宇-KY,0.92,574000
3036,文曄,0.63,1177000
3189,景碩,0.62,486013
6531,愛普*,0.54,273000
5289,宜鼎,0.49,157000
8021,尖點,0.44,518000
2337,旺宏,0.43,1465000
2467,志聖,0.43,347000
6139,亞翔,0.39,259000
7734,印能科技,0.39,59000
6805,富世達,0.37,112000
3491,昇達科,0.37,97000
3711,日月光投控,0.36,320000
3260,威剛,0.3,393000
3583,辛耘,0.05,33000
