code,name,weight,shares
2330,台積電,7.69,556000
8299,群聯,5.18,327000
2308,台達電,4.54,504000
2345,智邦,4.3,488000
3017,奇鋐,4.23,331000
3665,貿聯-KY,3.82,387000
6223,旺矽,3.77,175000
6515,穎崴,3.5,101000
2383,台光電,3.42,224000
2059,川湖,3.17,134000
7769,鴻勁,2.67,92000
8996,高力,2.61,412000
3037,欣興,2.46,858000
2360,致茂,2.39,313000
3163,波若威,2.26,612000
3260,威剛,2.14,819000
2449,京元電子,2.05,932000
5347,世界,1.87,2101000
5274,信驊,1.86,26000
3324,雙鴻,1.77,226000
6415,矽力*-KY,1.76,822000
6781,AES-KY,1.72,191000
6442,光聖,1.71,124000
3661,世芯-KY,1.63,64000
4749,新應材,1.6,240000
2408,南亞科,1.55,718000
1519,華城,1.53,204000
6669,緯穎,1.42,50000
8358,金居,1.4,713000
8210,勤誠,1.4,165000
2486,一詮,1.28,1150000
2454,聯發科,1.18,85000
3533,嘉澤,1.05,85000
3529,力旺,1.0,71000
6274,台燿,0.97,238000
5289,宜鼎,0.97,157000
8021,尖點,0.84,509920
3231,緯創,0.83,827000
6531,愛普*,0.79,245000
6805,富世達,0.67,55000
2317,鴻海,0.55,325000
8046,南電,0.5,160000
3189,景碩,0.44,213000
3443,創意,0.42,23000
6584,南俊國際,0.37,136000
2368,金像電,0.36,60000
3653,健策,0.33,14000
2344,華邦電,0.3,379000
5439,高技,0.3,126000
