code,name,prev_shares,curr_shares,delta,status
8358,金居,748000,1548000,800000,UP
2308,台達電,275000,274000,-1000,DOWN
2345,智邦,539000,520000,-19000,DOWN
1519,華城,207000,207000,0,SAME
2059,川湖,142000,142000,0,SAME
2317,鴻海,342000,342000,0,SAME
2330,台積電,607000,607000,0,SAME
2344,華邦電,513000,513000,0,SAME
2360,致茂,362000,362000,0,SAME
2368,金像電,222000,222000,0,SAME
2383,台光電,316000,316000,0,SAME
2408,南亞科,2382000,2382000,0,SAME
2449,京元電子,552000,552000,0,SAME
2486,一詮,1204000,1204000,0,SAME
3017,奇鋐,362000,362000,0,SAME
3037,欣興,1250000,1250000,0,SAME
3105,穩懋,904000,904000,0,SAME
3163,波若威,662000,662000,0,SAME
3189,景碩,447013,447013,0,SAME
3324,雙鴻,54000,54000,0,SAME
3443,創意,65000,65000,0,SAME
3529,力旺,66000,66000,0,SAME
3533,嘉澤,336000,336000,0,SAME
3653,健策,98000,98000,0,SAME
3661,世芯-KY,58000,58000,0,SAME
4749,新應材,504000,504000,0,SAME
4991,環宇-KY,500000,500000,0,SAME
5274,信驊,28000,28000,0,SAME
5289,宜鼎,88000,88000,0,SAME
5347,世界,2230000,2230000,0,SAME
5439,高技,201000,201000,0,SAME
6223,旺矽,192000,192000,0,SAME
6274,台燿,225000,225000,0,SAME
6442,光聖,304000,304000,0,SAME
6515,穎崴,109000,109000,0,SAME
6531,愛普*,359000,359000,0,SAME
6584,南俊國際,458000,458000,0,SAME
6669,緯穎,65000,65000,0,SAME
6781,AES-KY,194000,194000,0,SAME
6805,富世達,119000,119000,0,SAME
7751,竑騰,279000,279000,0,SAME
7769,鴻勁,139000,139000,0,SAME
8021,尖點,557920,557920,0,SAME
8046,南電,840000,840000,0,SAME
8210,勤誠,169000,169000,0,SAME
8299,群聯,396000,396000,0,SAME
8996,高力,655000,655000,0,SAME
