code,name,weight,shares
2330,台積電,8.55,556000
2308,台達電,4.71,494000
3017,奇鋐,4.52,354000
8299,群聯,4.34,272000
3665,貿聯-KY,4.02,299000
2059,川湖,3.82,127000
2345,智邦,3.75,343000
6223,旺矽,3.52,167000
2383,台光電,3.35,223000
6515,穎崴,3.05,97000
6669,緯穎,2.89,81000
7769,鴻勁,2.77,88000
2360,致茂,2.73,307000
8996,高力,2.46,366000
1519,華城,2.35,292000
5347,世界,2.31,2073000
3131,弘塑,2.3,139000
2451,創見,2.04,945000
2408,南亞科,2.02,950000
3163,波若威,2.0,612000
3260,威剛,1.98,804000
6781,AES-KY,1.97,182000
3661,世芯-KY,1.93,62000
5536,聖暉*,1.72,238000
5274,信驊,1.67,23000
8358,金居,1.63,696000
2368,金像電,1.61,264000
6442,光聖,1.52,124000
2327,國巨*,1.47,585000
8210,勤誠,1.43,162000
3529,力旺,1.09,72000
4749,新應材,1.08,132000
2449,京元電子,1.07,438000
6531,愛普*,0.98,233000
2344,華邦電,0.97,1079000
8021,尖點,0.96,500000
5289,宜鼎,0.89,154000
3037,欣興,0.82,365000
2317,鴻海,0.66,314000
6805,富世達,0.61,52000
2382,廣達,0.55,213000
3443,創意,0.52,24000
3324,雙鴻,0.36,40000
8046,南電,0.35,147000
5439,高技,0.33,120000
3189,景碩,0.32,209000
3653,健策,0.31,14000
6584,南俊國際,0.29,104000
